id	type	language	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	occurrenceStatus	preparations	disposition	otherCatalogNumbers	samplingProtocol	sampleSizeValue	samplingEffort	eventDate	eventTime	year	month	day	habitat	eventRemarks	continent	country	countryCode	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	dateIdentified	identificationQualifier	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName
UPTC:26:28762	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28762	28762	"Planta arrosetada, hojas verdes claro, inflorescencia con raquis verde claro, flores blancas, en zona húmeda"	1299	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-18	8:00/16:00	2019	05	18			SA	Colombia	CO	Boyacá	Tasco	"Vereda Santa Bárbara, finca los Arenales"		3485	3485		5°51'20.1''N | 72°45'14.5''W	5°51'20.1''N	72°45'14.5''W	Grados minutos segundos	WGS84	5.8555833	-72.7540278	WGS84	María Malagón	2019-07-09		Paepalanthus alpinus	Plantae	Magnoliophyta	Liliopsida	Poales	Eriocaulaceae	Paepalanthus	alpinus	Especie		Körn.	
UPTC:26:28763	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28763	28763	"Hierba que forma cojines en zona de pastizal, dos brácteas verdes hialino en el pedúnculo, inflorescencia blancas de diferentes tamaños, en páramo"	1332	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-19	8:00/16:00	2019	05	19			SA	Colombia	CO	Boyacá	Tasco	"Vereda Santa Bárbara, sector Culebreada, camino"		3510	3510		5°51'11''N | 72°38'34.7''W	5°51'11''N	72°38'34.7''W	Grados minutos segundos	WGS84	5.8530556	-72.6429722	WGS84	María Malagón	2019-07-09	cf. dendroides	Paepalanthus dendroides	Plantae	Magnoliophyta	Liliopsida	Poales	Eriocaulaceae	Paepalanthus	dendroides	Especie		(Kunth) Kunth	
UPTC:26:28764	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28764	28764	"Arbolito 2 m de altura, flor rosa oscuro, en potrero"	1412	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-20	8:00/16:00	2019	05	20			SA	Colombia	CO	Boyacá	Tasco	"Centro urbano, parte alta de la laguna de Guacheneque"		3252	3252		5°52'34.9''N | 72°44'25.8''W	5°52'34.9''N	72°44'25.8''W	Grados minutos segundos	WGS84	5.8763611	-72.7405	WGS84	María Malagón	2019-06-14		Vallea stipularis	Plantae	Magnoliophyta	Magnoliopsida	Oxalidales	Elaeocarpaceae	Vallea	stipularis	Especie		L. f.	
UPTC:26:28765	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28765	28765	"Hierba 1.3 m de talla, espiguillas color café claro"	1241	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17			SA	Colombia	CO	Boyacá	Tasco	"Vereda Santa Bárbara, laguna de Barro"		3825	3825		5°50'8.9''N | 72°42'39.4''W	5°50'8.9''N	72°42'39.4''W	Grados minutos segundos	WGS84	5.8358056	-72.7109444	WGS84	María Malagón	2019-06-13		Rhynchospora	Plantae	Magnoliophyta	Liliopsida	Poales	Cyperaceae	Rhynchospora		Género	sp.		
UPTC:26:28766	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28766	28766	"Hierba 60 cm de talla, espiguillas café claro, estambres amarillos"	1478	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-21	8:00/16:00	2019	05	21	Páramo		SA	Colombia	CO	Boyacá	Tasco	"Vereda Santa Bárbara, parte alta de la laguna de Guacheneque"		3951	3951		5°51'27.1''N | 72°42'20.3''W	5°51'27.1''N	72°42'20.3''W	Grados minutos segundos	WGS84	5.8575278	-72.7059167	WGS84	María Malagón	2019-06-14		Rhynchospora macrochaeta	Plantae	Magnoliophyta	Liliopsida	Poales	Cyperaceae	Rhynchospora	macrochaeta	Especie		Boeckeler	
UPTC:26:28767	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28767	28767	"Hierba 30 cm de talla, espiguillas negra, en páramo"	1236	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo		SA	Colombia	CO	Boyacá	Tasco	"Vereda Santa Bárbara, cerca a la laguna de Oro, parte alta de la laguna de Guacheneque"		3888	3888		5°50'18.6''N | 72°42'20.5''W	5°50'18.6''N	72°42'20.5''W	Grados minutos segundos	WGS84	5.8385	-72.7056944	WGS84	María Malagón	2019-06-13		Carex pichinchensis	Plantae	Magnoliophyta	Liliopsida	Poales	Cyperaceae	Carex	pichinchensis	Especie		Kunth	
UPTC:26:28768	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28768	28768	"Hierba 30 cm, espiguillas negras, amarillas hacia el ápice de la inflorescencia, en páramo"	1217	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo		SA	Colombia	CO	Boyacá	Tasco	"Vereda Santa Bárbara, cerca a la laguna de Oro, parte alta de la laguna de Guacheneque"		3888	3888		5°50'18.6''N | 72°42'20.5''W	5°50'18.6''N	72°42'20.5''W	Grados minutos segundos	WGS84	5.8385	-72.7056944	WGS84	María Malagón	2019-06-13		Carex pichinchensis	Plantae	Magnoliophyta	Liliopsida	Poales	Cyperaceae	Carex	pichinchensis	Especie		Kunth	
UPTC:26:28769	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28769	28769	"Arbusto, brácteas verdes, con tonos morados hacia el ápice, en páramo"	1189	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17			SA	Colombia	CO	Boyacá	Tasco	"Vereda Santa Bárbara, laguna de Barro"		3825	3825		5°50'8.9''N | 72°42'39.4''W	5°50'8.9''N	72°42'39.4''W	Grados minutos segundos	WGS84	5.8358056	-72.7109444	WGS84	María Malagón	2019-06-13		Valeriana arborea	Plantae	Magnoliophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana	arborea	Especie		Killip & Cuatrec.	
UPTC:26:28770	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28770	28770	"Planta trepadora, tallos verde-rojizo, flores blancas, en arbustal"	1411	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-20	8:00/16:00	2019	05	20			SA	Colombia	CO	Boyacá	Tasco	Centro urbano		3252	3252		5°52'34.9''N | 72°44'25.8''W	5°52'34.9''N	72°44'25.8''W	Grados minutos segundos	WGS84	5.8763611	-72.7405	WGS84	María Malagón	2019-06-13		Valeriana clematitis	Plantae	Magnoliophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana	clematitis	Especie		Kunth	
UPTC:26:28771	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28771	28771	"Planta escandente, tallos verde-rojizo, cáliz verde, corola blanca, en borde de camino"	1308	María Malagón | Humberto Mendoza | Sofía Gómez-Parra	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-18	8:00/16:00	2019	05	18			SA	Colombia	CO	Boyacá	Tasco	"Vereda Santa Bárbara, finca los Arenales"		3430	3430		5°51'23.1''N | 72°44'55.8''W	5°51'23.1''N	72°44'55.8''W	Grados minutos segundos	WGS84	5.8564167	-72.7488333	WGS84	Humberto Mendoza	2019-06-05		Valeriana clematitis	Plantae	Magnoliophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Valeriana	clematitis	Especie		Kunth	
