id;type;language;institutionID;institutionCode;collectionCode;ownerInstitutionCode;basisOfRecord;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;occurrenceStatus;preparations;disposition;samplingProtocol;samplingEffort;eventDate;eventTime;year;month;day;habitat;eventRemarks;continent;country;countryCode;stateProvince;county;locality;verbatimElevation;minimumElevationInMeters;maximumElevationInMeters;verbatimCoordinates;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;georeferenceVerificationStatus;identifiedBy;dateIdentified;identificationQualifier;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;taxonRank;verbatimTaxonRank;scientificNameAuthorship;vernacularName
UPTC:26:26523;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26523;26523;;JSG 122;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Leptodontium longicaule;Plantae;Bryophyta;Bryopsida;Pottiales;Pottiaceae;Leptodontium;longicaule;Especie;;Mitt.;Musgo
UPTC:26:26524;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26524;26524;;JSG 123;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Lepidozia cupressina;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Lepidoziaceae;Lepidozia;cupressina;Especie;;(Sw.) Lindenb.;Hepática
UPTC:26:26525;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26525;26525;;JSG 124;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Campylopus heterostachys;Plantae;Bryophyta;Bryopsida;Dicranales;Leucobryaceae;Campylopus;heterostachys;Especie;;(Hampe) A. Jaeger;Musgo
UPTC:26:26526;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26526;26526;;JSG 125;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Lepidozia cupressina;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Lepidoziaceae;Lepidozia;cupressina;Especie;;(Sw.) Lindenb.;Hepática
UPTC:26:26527;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26527;26527;;JSG 126;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Pleurozium schreberi;Plantae;Bryophyta;Bryopsida;Hypnales;Hylocomiaceae;Pleurozium;schreberi;Especie;;(Brid.) Mitt.;Musgo
UPTC:26:26528;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26528;26528;;JSG 127;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Terrícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Chorisodontium mittenii;Plantae;Bryophyta;Bryopsida;Dicranales;Dicranaceae;Chorisodontium;mittenii;Especie;;(Müll. Hal.) Broth.;Musgo
UPTC:26:26529;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26529;26529;;JSG 128;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Acroporium estrellae;Plantae;Bryophyta;Bryopsida;Hypnales;Sematophyllaceae;Acroporium;estrellae;Especie;;(Müll. Hal.) W.R. Buck & Schäff-Verw.;Musgo
UPTC:26:26530;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26530;26530;;JSG 129;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;cf. trivialis;Campylopus trivialis;Plantae;Bryophyta;Bryopsida;Dicranales;Leucobryaceae;Campylopus;trivialis;Especie;;E. Britton;Musgo
UPTC:26:26531;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26531;26531;;JSG 130;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;aff. bifaria;Plagiochila bifaria;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Plagiochilaceae;Plagiochila;bifaria;Especie;;(Sw.) Lindenb.;Hepática
UPTC:26:26532;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:26532;26532;;JSG 131;J. Gualteros | D. A. Moreno;1;Presente;Seco;En colección;Colecta general;8 Horas/ dia;6/05/2018;8:00/16:00;2018;5;6;Bosque;Cortícola;SA;Colombia;CO;Boyacá;Samacá;Loma redonda;3422;3422;3422;5°26'20.1''N | 73°34'27.6''W;5°26'20.1''N;73°34'27.6''W;Grados minutos segundos;WGS84;54389167;-735743333;WGS84;;D. A. Moreno;;;Anoplolejeunea conferta;Plantae;Marchantiophyta;Jungermanniopsida;Porellales;Lejeuneaceae;Anoplolejeunea;conferta;Especie;;(spreng.) A. Evans;Hepática
