id	type	language	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	occurrenceStatus	preparations	disposition	otherCatalogNumbers	samplingProtocol	samplingEffort	eventDate	eventTime	year	month	day	habitat	eventRemarks	continent	country	countryCode	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	identifiedBy	dateIdentified	identificationQualifier	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName
UPTC:26:26270	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26270	26270	"Hierba, flores blancas con manchas moradas en la parte interna de los pétalos"	844	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°41'55.2''N | 72°47'22.3''W	5°41'55.2''N	72°47'22.3''W	Grados minutos segundos	WGS84	5.6986667	-72.7895278	WGS84		María Malagón	2019-03-13		Lysipomia laciniata	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Campanulaceae	Lysipomia	laciniata	Especie		A. DC.	
UPTC:26:26271	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26271	26271	"Hierba, flores rojas"	889	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'50.9''N | 72°47'19.9''W	5°42'50.9''N	72°47'19.9''W	Grados minutos segundos	WGS84	5.7141389	-72.7888611	WGS84		Sofía Gómez-Parra	2019-04-25		Rumex acetosella	Plantae	Magnoliophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	acetosella	Especie		L.	
UPTC:26:26272	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26272	26272	"Hierba, flores amarillas"	858	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'50.9''N | 72°47'19.9''W	5°42'50.9''N	72°47'19.9''W	Grados minutos segundos	WGS84	5.7141389	-72.7888611	WGS84		María Malagón	2019-03-21		Ranunculus geranioides	Plantae	Magnoliophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	geranioides	Especie		"Humb., Bonpl. & Kunth ex DC."	
UPTC:26:26273	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26273	26273	"Hierba creciendo en áreas húmedas, flores amarillas"	857	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'50.9''N | 72°47'19.9''W	5°42'50.9''N	72°47'19.9''W	Grados minutos segundos	WGS84	5.7141389	-72.7888611	WGS84		María Malagón	2019-03-21		Ranunculus flagelliformis	Plantae	Magnoliophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	flagelliformis	Especie		Sm.	
UPTC:26:26274	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26274	26274	"Hierba, flores color amarillo crema"	896	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°41'56.6''N | 72°47'27''W	5°41'56.6''N	72°47'27''W	Grados minutos segundos	WGS84	5.6990556	-72.7908333	WGS84		María Malagón	2019-03-19		Halenia insignis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Halenia	insignis	Especie		C.K.Allen	
UPTC:26:26275	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26275	26275	"Arbusto aromático 1.5 m de altura, flores blancas con estambres café"	826	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°41'55.2''N | 72°47'22.3''W	5°41'55.2''N	72°47'22.3''W	Grados minutos segundos	WGS84	5.6986667	-72.7895278	WGS84		Humberto Mendoza	2019-03-21		Hesperomeles obtusifolia	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Hesperomeles	obtusifolia	Especie		(Pers.) Lindl.	
UPTC:26:26276	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26276	26276	"Hierba 10 cm de altura, brácteas moradas, flores amarillas"	832	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Duce, laguna negra, zona de páramo"		3356	3356	3776	5°42'3.6''N | 72°47'17.1''W	5°42'3.6''N	72°47'17.1''W	Grados minutos segundos	WGS84	5.701	-72.7880833	WGS84		María Malagón	2019-03-22		Bartsia stricta	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Orobanchaceae	Bartsia	stricta	Especie		(Kunth) Benth.	
UPTC:26:26277	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26277	26277	"Hierba 30 cm de altura, flores rojo amarillentas"	882	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'16.8''N | 72°47'21.7''W	5°42'16.8''N	72°47'21.7''W	Grados minutos segundos	WGS84	5.7046667	-72.7893611	WGS84		María Malagón	2019-03-14		Castilleja fissifolia	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Orobanchaceae	Castilleja	fissifolia	Especie		L. f.	
UPTC:26:26278	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26278	26278	"Hierba, tallo rojizo, flores amarillas"	879	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'50.9''N | 72°47'19.9''W	5°42'50.9''N	72°47'19.9''W	Grados minutos segundos	WGS84	5.7141389	-72.7888611	WGS84		María Malagón	2019-03-21		Erythranthe glabrata	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Phrymaceae	Erythranthe	glabrata	Especie		(Kunth) G.L.Nesom	
UPTC:26:26279	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26279	26279	"Hierba creciendo en áreas húmedas, flores amarillas"	880	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'50.9''N | 72°47'19.9''W	5°42'50.9''N	72°47'19.9''W	Grados minutos segundos	WGS84	5.7141389	-72.7888611	WGS84		María Malagón	2019-03-21		Erythranthe glabrata	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Phrymaceae	Erythranthe	glabrata	Especie		(Kunth) G.L.Nesom	
UPTC:26:26280	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26280	26280	"Hierba arrosetada, estambres color café"	894	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°41'56.6''N | 72°47'27''W	5°41'56.6''N	72°47'27''W	Grados minutos segundos	WGS84	5.6990556	-72.7908333	WGS84		María Malagón	2019-03-21		Plantago rigida	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	rigida	Especie		Kunth	
UPTC:26:26281	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26281	26281	"Hierba 1 m altura, espiga color café"	851	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'50.9''N | 72°47'19.9''W	5°42'50.9''N	72°47'19.9''W	Grados minutos segundos	WGS84	5.7141389	-72.7888611	WGS84		María Malagón	2019-03-18		Carex pichinchensis	Plantae	Magnoliophyta	Liliopsida	Poales	Cyperaceae	Carex	pichinchensis	Especie		Kunth	
UPTC:26:26282	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26282	26282	"Arbusto 1 m de altura, pubescencia amarillenta, frutos rosados"	829	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Duce, laguna negra"		3356	3356	3776	5°42'3.6''N | 72°47'17.1''W	5°42'3.6''N	72°47'17.1''W	Grados minutos segundos	WGS84	5.701	-72.7880833	WGS84		Humberto Mendoza	2019-03-15		Miconia salicifolia	Plantae	Magnoliophyta	Magnoliopsida	Myrtales	Melastomataceae	Miconia	salicifolia	Especie		Naudin	
UPTC:26:26283	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26283	26283	"Arbusto aromático, 1 m altura, capitulescencia amarilla"	815	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Duce, laguna negra"		3356	3356	3776	5°42'3.6''N | 72°47'17.1''W	5°42'3.6''N	72°47'17.1''W	Grados minutos segundos	WGS84	5.701	-72.7880833	WGS84		José Aguilar-Cano	2019-03-26		Espeletia lopezii	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Espeletia	lopezii	Especie		Cuatrec.	
UPTC:26:26284	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26284	26284	"Arbusto 2 m, capitulescencia blanca"	828	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'45.9''N | 72°47'20.5''W	5°42'45.9''N	72°47'20.5''W	Grados minutos segundos	WGS84	5.71275	-72.7890278	WGS84					Ageratina	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Ageratina		Género	sp.		
UPTC:26:26285	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:26285	26285	"Arbusto 2 m de altura, capitulescencia blanca"	876	Sofía Gómez-Parra | María Malagón | Aura Robles	1	Presente	Seco	En colección		Colecta general	8 Horas/ día	2019-02-24	8:00/16:00	2019	02	24			SA	Colombia	CO	Boyacá	Mongua	"Vereda Mongua, laguna Negra"		3356	3356	3776	5°42'35.2''N | 72°47'17.4''W	5°42'35.2''N	72°47'17.4''W	Grados minutos segundos	WGS84	5.7097778	-72.7881667	WGS84					Baccharis	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis		Género	sp.		
