id;type;language;institutionID;institutionCode;collectionCode;ownerInstitutionCode;basisOfRecord;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;occurrenceStatus;preparations;disposition;otherCatalogNumbers;samplingProtocol;samplingEffort;eventDate;eventTime;year;month;day;habitat;eventRemarks;continent;country;countryCode;stateProvince;county;locality;verbatimElevation;minimumElevationInMeters;maximumElevationInMeters;verbatimCoordinates;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;identifiedBy;dateIdentified;identificationQualifier;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;taxonRank;verbatimTaxonRank;scientificNameAuthorship;vernacularName
UPTC:26:27281;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27281;27281;Nan;D.A-Moreno 3955;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;143;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Lepidozia incurvata;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Lepidoziaceae;Lepidozia;incurvata;Especie;Nan;Lindenb.;Hepática
UPTC:26:27282;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27282;27282;Nan;D.A-Moreno 3956;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;144;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Lepidozia cupressina;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Lepidoziaceae;Lepidozia;cupressina;Especie;Nan;(Sw.) Lindenb.;Hepática
UPTC:26:27283;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27283;27283;Nan;D.A-Moreno 3957;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;145;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Madera en descomposición;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Metzgeria albinea;Plantae;Marchantiophyta;Jungermanniopsida;Metzgeriales;Metzgeriaceae;Metzgeria;albinea;Especie;Nan;Spruce;Hepática
UPTC:26:27284;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27284;27284;Nan;D.A-Moreno 3958;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;146;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;cf. grossispinus;Herbertus grossispinus;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Herbertaceae;Herbertus;grossispinus;Especie;Nan;Fulford;Hepática
UPTC:26:27285;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27285;27285;Nan;D.A-Moreno 3959;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;147;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Cortícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Macromitrium;Plantae;Bryophyta;Bryopsida;Orthotrichales;Orthotrichaceae;Macromitrium;;Género;sp.;;Musgo
UPTC:26:27286;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27286;27286;Nan;D.A-Moreno 3960;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;148;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Cortícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Frullania grandifolia;Plantae;Marchantiophyta;Jungermanniopsida;Porellales;Frullaniaceae;Frullania;grandifolia;Especie;Nan;Steph.;Hepática
UPTC:26:27287;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27287;27287;Nan;D.A-Moreno 3961;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;149;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Cortícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Frullania paradoxa;Plantae;Marchantiophyta;Jungermanniopsida;Porellales;Frullaniaceae;Frullania;paradoxa;Especie;Nan;Lehm. & Lindenb.;Hepática
UPTC:26:27288;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27288;27288;Nan;D.A-Moreno 3962;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;150;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Terrícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Syzygiella concreta;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Jamesoniellaceae;Syzygiella;concreta;Especie;Nan;(Gottsche.) Spruce;Hepática
UPTC:26:27289;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27289;27289;Nan;D.A-Moreno 3963;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;151;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Madera en descomposición;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;;Cephalozia bicuspidata;Plantae;Marchantiophyta;Jungermanniopsida;Jungermanniales;Cephaloziaceae;Cephalozia;bicuspidata;Especie;Nan;(L). Durmont.;Hepática
UPTC:26:27290;Evento;es;891.800.330-1;Universidad Pedagógica y Tecnológica de Colombia (UPTC);Herbario UPTC;UPTC;HumanObservation;UPTC:26:27290;27290;Nan;D.A-Moreno 3964;D. A. Moreno | N. T. Manrique;1;Presente;Seco;En colección;152;Colecta general;8 Horas/ dia;3/08/2018;8:00/16:00;2018;8;3;Páramo;Cortícola;SA;Colombia;CO;Boyacá;Ciénega;Vereda Albañil;3088;3088;3088;5°22'38.9''N | 73°15'14.9''W;5°22'38.9''N;73°15'14.9''W;Grados minutos segundos;WGS84;53774722;-732541389;WGS84;D. A. Moreno;;aff. cavifolia;Diplasiolejeunea cavifolia;Plantae;Marchantiophyta;Jungermanniopsida;Porellales;Lejeuneaceae;Diplasiolejeunea;cavifolia;Especie;Nan;Steph.;Hepática
