id,type,language,institutionID,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,individualCount,occurrenceStatus,preparations,disposition,otherCatalogNumbers,samplingProtocol,samplingEffort,eventDate,eventTime,year,month,day,habitat,eventRemarks,continent,country,countryCode,stateProvince,county,locality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,identifiedBy,dateIdentified,identificationQualifier,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,identificationRemarks,georeferenceVerificationStatus,verbatimLocality,sampleSizeValue
UPTC:26:26138,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:26138,26138,"Hierba terrestre, 1.70 m de altura, en borde de camino, flores amarillo-verdoso con puntos oscuros en los pétalos, inflorescencia péndula",760,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'15.7''N | 72°59'18.1''W,5°57'15.7''N,72°59'18.1''W,Grados minutos segundos,WGS84,5.9543611,-72.9883611,WGS84,Naisla Manrique,2019-02-20,cf. klotzscheanum,Epidendrum klotzscheanum,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,klotzscheanum,Especie,0,Rchb.f.,0,,,,
UPTC:26:25915,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:25915,25915,"Arbusto 1.60 m de altura, capitulescencias blancas, cáliz café claro con verde, creciendo en borde de camino",762,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'15.7''N | 72°59'18.1''W,5°57'15.7''N,72°59'18.1''W,Grados minutos segundos,WGS84,5.9543611,-72.9883611,WGS84,María Malagón,2019-02-19,cf. pedunculata,Baccharis pedunculata,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,pedunculata,Especie,0,(Mill.) Cabrera,0,,,,
UPTC:26:26146,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:26146,26146,"Arbusto 15 cm de talla, flores rosadas, en borde de camino",763,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'9.5''N | 72°59'26.6''W,5°57'9.5''N,72°59'26.6''W,Grados minutos segundos,WGS84,5.9526389,-72.9907222,WGS84,Naisla Manrique,2019-02-20,0,Disterigma empetrifolium,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Disterigma,empetrifolium,Especie,0,(Kunth) Nied.,0,,,,
UPTC:26:25891,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:25891,25891,"Planta suculenta, inflorescencia 40 cm, verde claro con flores naranja, amarillo hacia el apice",764,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'15.7''N | 72°59'18.1''W,5°57'15.7''N,72°59'18.1''W,Grados minutos segundos,WGS84,5.9543611,-72.9883611,WGS84,María Malagón,2019-01-30,cf. bicolor,Echeveria bicolor,Plantae,Magnoliophyta,Magnoliopsida,Saxifragales,Crassulaceae,Echeveria,bicolor,Especie,0,(Kunth) E. Walther.,0,,,,
UPTC:26:26043,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:26043,26043,"Hierba 1.5 m de altura, tallos verdes con vino, flores blancas, en borde de camino",766,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'15.7''N | 72°59'18.1''W,5°57'15.7''N,72°59'18.1''W,Grados minutos segundos,WGS84,5.9543611,-72.9883611,WGS84,María Malagón,2019-02-19,cf. gracilis,Ageratina gracilis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,gracilis,Especie,0,(Kunth) R.M. King & H. Rob.,0,,,,
UPTC:26:26154,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:26154,26154,"Arbusto de 2 m de altura, frutos verde claro, en borde de camino",768,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'15.7''N | 72°59'18.1''W,5°57'15.7''N,72°59'18.1''W,Grados minutos segundos,WGS84,5.9543611,-72.9883611,WGS84,0,0,0,Solanum,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,0,Género,sp.,0,0,,,,
UPTC:26:25911,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:25911,25911,"Hierba escandente, flor con pétalos verde claro, morado hacia el apice, en borde de camino",769,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'14.9''N | 72°59'12.1''W,5°57'14.9''N,72°59'12.1''W,Grados minutos segundos,WGS84,5.9541389,-72.9866944,WGS84,Humberto Mendoza,2019-02-19,0,Galium boyacanum,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,boyacanum,Especie,0,Dempster,0,,,,
UPTC:26:25995,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:25995,25995,"Hierba 1.60 m de altura, flores con lígulas blancas, moradas por el envés, en borde de camino",770,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'14.9''N | 72°59'12.1''W,5°57'14.9''N,72°59'12.1''W,Grados minutos segundos,WGS84,5.9541389,-72.9866944,WGS84,María Malagón,2019-02-19,0,Sabazia trianae,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Sabazia,trianae,Especie,0,(Hieron.) Longpre.,0,,,,
UPTC:26:26139,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:26139,26139,"Arbusto 2 m de altura, flores con pétalos blancos, estambres amarillos, en borde de camino",771,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,0,0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros",3128.0,3128.0,3505.0,5°57'14.9''N | 72°59'12.1''W,5°57'14.9''N,72°59'12.1''W,Grados minutos segundos,WGS84,5.9541389,-72.9866944,WGS84,Sofía Gómez-Parra,2019-02-11,0,Solanum psychotrioides,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,psychotrioides,Especie,0,Dunal,0,,,,
UPTC:26:26029,Evento,es,891.800.330-1,Universidad Pedagógica y Tecnológica de Colombia (UPTC),Herbario UPTC,UPTC,HumanObservation,UPTC:26:26029,26029,"Árbol 5 m de altura, flores blancas, en borde de camino",773,María Malagón | Humberto Mendoza | Naisla Manrique,1,Presente,Seco,En colección,,Colecta general,8 Horas/día,2018-12-06,8:00/16:00,2018,12,6,"Zona de parámo, en zona de ladera con vegetación arbustiva",0,SA,Colombia,CO,Boyacá,Cerinza,"Vereda Toba, camino al bosque de siete cueros, borde de quebrada",3128.0,3128.0,3505.0,5°57'19.2''N | 72°59'25.3''W,5°57'19.2''N,72°59'25.3''W,Grados minutos segundos,WGS84,5.9553333,-72.9903611,WGS84,Humberto Mendoza,2019-02-19,0,Weinmannia tomentosa,Plantae,Magnoliophyta,Magnoliopsida,Oxalidales,Cunoniaceae,Weinmannia,tomentosa,Especie,0,L. f.,0,,,,
